Provinsi,Pulau,Persentase Penduduk Miskin,PDRB,Upah per Jam,TPT,,,,,,,,
ACEH,SUMATERA,14.75,210418.36,16772,6.17,,,,,,,,
SUMATERA UTARA,SUMATERA,8.33,955193.09,15131,6.16,,,,,,,,
SUMATERA BARAT,SUMATERA,6.04,285376.46,15887,6.28,,,,,,,,
RIAU,SUMATERA,6.84,991615.38,18626,4.37,,,,,,,,
JAMBI,SUMATERA,7.7,276719.44,16042,4.59,,,,,,,,
SUMATERA SELATAN,SUMATERA,11.95,590067.1,15978,4.63,,,,,,,,
BENGKULU,SUMATERA,14.34,90111.95,16501,3.59,,,,,,,,
LAMPUNG,SUMATERA,11.44,414131.42,13218,4.52,,,,,,,,
KEP. BANGKA BELITUNG,SUMATERA,4.61,95295.6,18132,4.77,,,,,,,,
KEP. RIAU,SUMATERA,6.03,308842.68,23528,8.23,,,,,,,,
DKI JAKARTA,JAWA,4.61,3188539.02,32685,7.18,,,,,,,,
JAWA BARAT,JAWA,7.98,2422782.32,19038,8.31,,,,,,,,
JAWA TENGAH,JAWA,10.98,1559571.1,12604,5.57,,,,,,,,
DI YOGYAKARTA,JAWA,11.49,165718.44,14916,4.06,,,,,,,,
JAWA TIMUR,JAWA,10.49,2731358.78,15119,5.49,,,,,,,,
BANTEN,JAWA,6.24,747223.58,23880,8.09,,,,,,,,
BALI,BALI,4.53,245362.88,16857,4.8,,,,,,,,
NUSA TENGGARA BARAT,NUSA TENGGARA,13.82,156942.67,11734,2.89,,,,,,,,
NUSA TENGGARA TIMUR,NUSA TENGGARA,20.23,118718.2,13012,3.54,,,,,,,,
KALIMANTAN BARAT,KALIMANTAN,6.81,255797.28,16337,5.11,,,,,,,,
KALIMANTAN TENGAH,KALIMANTAN,5.22,199783.37,19795,4.26,,,,,,,,
KALIMANTAN SELATAN,KALIMANTAN,4.61,251229.5,18661,4.74,,,,,,,,
KALIMANTAN TIMUR,KALIMANTAN,6.44,921450.99,22281,5.71,,,,,,,,
KALIMANTAN UTARA,KALIMANTAN,6.86,138674.96,20320,4.33,,,,,,,,
SULAWESI UTARA,SULAWESI,7.34,157039.46,18335,6.61,,,,,,,,
SULAWESI TENGAH,SULAWESI,12.3,323630.28,15890,3,,,,,,,,
SULAWESI SELATAN,SULAWESI,8.66,605148.86,17257,4.51,,,,,,,,
SULAWESI TENGGARA,SULAWESI,11.27,158800.27,17542,3.36,,,,,,,,
GORONTALO,SULAWESI,15.51,47569.65,14289,2.58,,,,,,,,
SULAWESI BARAT,SULAWESI,11.92,54078.35,14774,2.34,,,,,,,,
MALUKU,MALUKU,16.23,54057.97,17006,6.88,,,,,,,,
MALUKU UTARA,MALUKU,6.37,70902.61,18278,3.98,,,,,,,,
PAPUA BARAT,PAPUA,21.43,91292.02,24128,5.37,,,,,,,,
PAPUA,PAPUA,26.8,262519.79,24097,2.83,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
